#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime
4N|NJ10|00|BHE|40.817749|-74.679901|262.0|0.0|90.0|0.0|Silicon Audio 213P40|2.245779978E8|1.0|M/S|50.0|2024-04-10T20:25:49.0000|2024-12-12T16:23:30.0000
4N|NJ10|00|BHN|40.817749|-74.679901|262.0|0.0|0.0|0.0|Silicon Audio 213P40|2.284698174E8|1.0|M/S|50.0|2024-04-10T20:25:49.0000|2024-12-12T16:23:30.0000
4N|NJ10|00|BHZ|40.817749|-74.679901|262.0|0.0|0.0|-90.0|Silicon Audio 213P40|2.39989875E8|1.0|m/s|50.0|2024-04-10T20:25:49.0000|2024-12-12T16:23:30.0000
4N|NJ11|00|BHE|40.59416|-74.75861|73.0|0.0|90.0|0.0|Silicon Audio 213P40|2.245779978E8|1.0|M/S|50.0|2024-04-11T19:55:36.0000|2024-12-10T19:35:44.0000
4N|NJ11|00|BHN|40.59416|-74.75861|73.0|0.0|0.0|0.0|Silicon Audio 213P40|2.284698174E8|1.0|M/S|50.0|2024-04-11T19:55:36.0000|2024-12-10T19:35:44.0000
4N|NJ11|00|BHZ|40.59416|-74.75861|73.0|0.0|0.0|-90.0|Silicon Audio 213P40|2.39989875E8|1.0|m/s|50.0|2024-04-11T19:55:36.0000|2024-12-10T19:35:44.0000
4N|NJ12|00|BHE|40.5772|-74.8603|70.0|0.0|90.0|0.0|Silicon Audio 213P40|2.245779978E8|1.0|M/S|50.0|2024-04-11T16:37:02.0000|2024-12-11T13:12:20.0000
4N|NJ12|00|BHN|40.5772|-74.8603|70.0|0.0|0.0|0.0|Silicon Audio 213P40|2.284698174E8|1.0|M/S|50.0|2024-04-11T16:37:02.0000|2024-12-11T13:12:20.0000
4N|NJ12|00|BHZ|40.5772|-74.8603|70.0|0.0|0.0|-90.0|Silicon Audio 213P40|2.39989875E8|1.0|m/s|50.0|2024-04-11T16:37:02.0000|2024-12-11T13:12:20.0000
4N|NJ13|00|BHE|40.5994|-74.6756|27.0|0.0|90.0|0.0|Silicon Audio 213P40|2.245779978E8|1.0|M/S|50.0|2024-04-11T21:48:30.0000|2024-12-11T17:45:26.0000
4N|NJ13|00|BHN|40.5994|-74.6756|27.0|0.0|0.0|0.0|Silicon Audio 213P40|2.284698174E8|1.0|M/S|50.0|2024-04-11T21:48:30.0000|2024-12-11T17:45:26.0000
4N|NJ13|00|BHZ|40.5994|-74.6756|27.0|0.0|0.0|-90.0|Silicon Audio 213P40|2.39989875E8|1.0|m/s|50.0|2024-04-11T21:48:30.0000|2024-12-11T17:45:26.0000
4N|NJ14|00|BHE|40.694444|-74.756389|157.886|0.0|90.0|0.0|Silicon Audio 213P40|2.245779978E8|1.0|M/S|50.0|2024-04-10T20:25:49.0000|2024-12-11T15:28:39.0000
4N|NJ14|00|BHN|40.694444|-74.756389|157.886|0.0|0.0|0.0|Silicon Audio 213P40|2.284698174E8|1.0|M/S|50.0|2024-04-10T20:25:49.0000|2024-12-11T15:28:39.0000
4N|NJ14|00|BHZ|40.694444|-74.756389|157.886|0.0|0.0|-90.0|Silicon Audio 213P40|2.39989875E8|1.0|m/s|50.0|2024-04-10T20:25:49.0000|2024-12-11T15:28:39.0000
4N|NJ15|00|HHE|40.687487|-74.750582|82.0|0.0|90.0|0.0||3.278688E8|1.0|M/S|100.0|2024-04-18T14:17:43.0000|2024-12-12T14:00:08.0000
4N|NJ15|00|HHN|40.687487|-74.750582|82.0|0.0|0.0|0.0||3.278688E8|1.0|M/S|100.0|2024-04-18T14:17:43.0000|2024-12-12T14:00:08.0000
