#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
4N|NJ10|40.817749|-74.679901|262.0|Black River Wildlife Management Area|2024-04-10T20:25:49.0000|2024-12-12T16:23:30.0000
4N|NJ11|40.59416|-74.75861|73.0|4N-NJ11|2024-04-11T19:55:36.0000|2024-12-10T19:35:44.0000
4N|NJ12|40.5772|-74.8603|70.0|4N-NJ12|2024-04-11T16:37:02.0000|2024-12-11T13:12:20.0000
4N|NJ13|40.5994|-74.6756|27.0|Ten Eyck Park|2024-04-11T21:48:30.0000|2024-12-11T17:45:26.0000
4N|NJ14|40.694444|-74.756389|157.886|Wayne Proerty|2024-04-10T20:25:49.0000|2024-12-11T15:28:39.0000
4N|NJ15|40.687487|-74.750582|82.0|Oldwick|2024-04-18T14:17:43.0000|2024-12-12T14:00:08.0000
4P|CRV2|38.949258|-77.10547|65.7|Carvel Road, Bethesda, MD|2021-04-10T00:00:00.0000|2021-12-31T00:00:00.0000
4P|CRVL|38.949258|-77.10547|65.7|Carvel Road, Bethesda, MD|2020-08-01T00:00:00.0000|2021-12-31T00:00:00.0000
4P|REST|38.972527|-77.337348|116.3|Northgate Square, Reston, VA|2020-07-17T00:00:00.0000|2021-12-31T00:00:00.0000
4P|SUDB|38.990482|-77.046444|77.9|Sudbury Road NW, Washington, DC|2020-07-27T00:00:00.0000|2021-12-31T00:00:00.0000
5H|ANNI|37.935001|-77.9655|93.0|Yanceyville, VA|2017-06-15T22:30:00.0000|2018-11-13T17:59:59.0000
5H|BEAR|37.528999|-78.287003|107.0|Cumberland S.F., VA|2017-03-30T18:00:00.0000|2018-09-26T19:59:59.0000
5H|BEAV|37.998402|-77.999298|118.0|Louisa, VA|2017-06-08T17:30:00.0000|2018-10-09T18:59:59.0000
5H|BUCK|37.452|-78.663498|190.0|Buckingham S.F., VA|2017-05-19T16:30:00.0000|2018-11-14T16:59:59.0000
5H|COOP|37.960602|-77.921204|117.0|Cuckoo, VA|2017-05-11T18:00:00.0000|2018-11-27T16:59:59.0000
5H|DAVE|37.551201|-78.370102|130.0|Dillwyn, VA|2017-04-21T16:00:00.0000|2018-11-14T18:59:59.0000
5H|DEBI|37.922401|-78.099197|137.0|Ferncliff, VA|2017-06-15T18:30:00.0000|2018-11-13T21:59:59.0000
5H|FORK|37.7425|-78.268799|122.0|Fork Union Military Academy, VA|2017-04-28T18:30:00.0000|2018-11-28T18:59:59.0000
